Time,CPU Usage
43479.370825,18.1
43479.370872,10.1
43479.370918,9.8
43479.370964,14.3
43479.371010,16.6
43479.371057,28.4
43479.371103,12.2
43479.371149,8.2
43479.371196,7.1
43479.371242,10.2
43479.371288,6.3
43479.371334,8.6
43479.371381,6.1
43479.371427,5.4
43479.371473,5.1
43479.371520,6.3
43479.371566,6.9
43479.371612,7.3
43479.371659,7.0
43479.371705,6.7
43479.371751,9.1
43479.371797,6.6
43479.371844,5.9
43479.371890,5.9
43479.371936,5.9
43479.371983,5.8
43479.372029,5.7
43479.372075,5.4
43479.372122,5.7
43479.372168,5.8
43479.372214,5.6
43479.372260,5.6
43479.372307,5.6
43479.372353,5.7
43479.372399,5.7
43479.372446,5.6
43479.372492,5.7
43479.372538,6.5
43479.372585,5.9
43479.372631,5.6
43479.372677,5.7
43479.372723,6.1
43479.372770,5.7
43479.372816,5.6
43479.372862,5.6
43479.372909,5.6
43479.372955,5.8
43479.373001,5.7
43479.373047,5.6
43479.373094,5.6
43479.373140,5.6
43479.373186,5.6
43479.373233,5.7
43479.373279,8.1
43479.373325,5.6
43479.373372,5.6
43479.373418,5.6
43479.373464,5.6
43479.373510,5.6
43479.373557,5.5
43479.373603,5.6
43479.373649,5.7
43479.373696,5.6
43479.373742,5.6
43479.373788,5.6
43479.373835,5.5
43479.373881,5.8
43479.373927,5.6
43479.373973,5.6
43479.374020,5.5
43479.374066,5.6
43479.374112,6.0
43479.374159,5.6
43479.374205,5.6
43479.374251,5.7
43479.374298,5.5
43479.374344,5.7
43479.374390,5.6
43479.374436,5.6
43479.374483,5.8
43479.374529,5.9
43479.374575,5.8
43479.374622,6.1
43479.374668,5.4
43479.374714,5.8
43479.374761,5.6
43479.374807,5.6
43479.374853,5.6
43479.374899,5.8
43479.374946,5.7
43479.374992,5.3
43479.375038,5.0
43479.375085,5.2
43479.375131,5.5
43479.375177,5.6
43479.375223,5.5
43479.375270,5.6
43479.375316,5.8
43479.375362,5.5
43479.375409,5.7
43479.375455,5.6
43479.375501,5.6
43479.375548,5.6
43479.375594,5.6
43479.375640,5.9
43479.375687,5.5
43479.375733,5.6
43479.375779,5.6
43479.375825,5.6
43479.375872,5.6
43479.375918,5.6
43479.375964,5.5
43479.376011,5.4
43479.376057,5.6
43479.376103,5.6
43479.376150,5.6
43479.376196,5.6
43479.376242,5.6
43479.376288,5.5
43479.376335,5.4
43479.376381,5.6
43479.376427,5.4
43479.376474,5.6
43479.376520,5.5
43479.376566,5.8
43479.376613,5.5
43479.376659,5.4
43479.376705,5.5
43479.376751,5.6
43479.376798,5.5
43479.376844,5.6
43479.376890,6.1
43479.376937,5.5
43479.376983,5.5
43479.377029,5.5
43479.377075,5.6
43479.377122,5.5
43479.377168,6.3
43479.377214,5.6
43479.377261,5.5
43479.377307,5.5
43479.377353,6.0
43479.377400,5.6
43479.377446,6.0
43479.377492,6.4
43479.377538,5.5
43479.377585,5.6
43479.377631,5.6
43479.377677,5.6
43479.377724,5.6
43479.377770,5.5
43479.377816,6.0
43479.377863,5.5
43479.377909,5.5
43479.377955,5.5
43479.378001,5.6
43479.378048,5.6
43479.378094,5.4
43479.378140,5.7
43479.378187,5.6
43479.378233,5.4
43479.378279,5.5
43479.378325,5.6
43479.378372,5.5
43479.378418,5.7
43479.378464,5.5
43479.378511,5.6
43479.378557,5.6
43479.378603,5.6
43479.378650,5.5
43479.378696,5.6
43479.378742,5.6
43479.378788,5.5
43479.378835,5.6
43479.378881,5.4
43479.378927,5.6
43479.378974,5.6
43479.379020,5.5
43479.379066,5.6
43479.379112,5.5
43479.379159,5.5
43479.379205,5.6
43479.379251,5.5
43479.379298,5.5
43479.379344,6.3
43479.379390,5.6
43479.379437,5.4
43479.379483,5.6
43479.379529,5.6
43479.379575,5.7
43479.379622,5.4
43479.379668,5.6
43479.379714,5.5
43479.379761,5.5
43479.379807,5.6
43479.379853,5.4
43479.379900,5.7
43479.379946,5.5
43479.379992,5.5
43479.380038,5.5
43479.380085,5.6
43479.380131,5.6
43479.380177,5.5
43479.380224,5.5
43479.380270,5.5
43479.380316,5.4
43479.380363,5.6
43479.380409,5.5
43479.380455,5.5
43479.380501,5.5
43479.380548,5.5
43479.380594,5.5
