Time,CPU Usage
43479.380640,5.5
43479.380687,5.7
43479.380733,5.7
43479.380779,5.6
43479.380826,5.5
43479.380872,5.5
43479.380918,5.6
43479.380964,5.6
43479.381011,5.6
43479.381057,5.5
43479.381103,5.6
43479.381150,5.8
43479.381196,5.6
43479.381242,5.6
43479.381289,5.6
43479.381335,5.4
43479.381381,5.6
43479.381427,5.5
43479.381474,5.6
43479.381520,5.9
43479.381566,5.6
43479.381613,5.7
43479.381659,5.9
43479.381705,5.6
43479.381752,5.5
43479.381798,5.6
43479.381844,5.5
43479.381890,5.9
43479.381937,5.4
43479.381983,5.8
43479.382029,5.6
43479.382076,5.5
43479.382122,5.5
43479.382168,5.6
43479.382215,5.4
43479.382261,5.5
43479.382307,4.0
43479.382353,5.6
43479.382400,5.7
43479.382446,5.8
43479.382492,5.6
43479.382539,5.5
43479.382585,5.6
43479.382631,5.7
43479.382677,5.6
43479.382724,5.6
43479.382770,5.5
43479.382816,5.8
43479.382863,5.6
43479.382909,5.7
43479.382955,5.7
43479.383002,5.6
43479.383048,5.7
43479.383094,5.7
43479.383140,5.7
43479.383187,5.6
43479.383233,5.6
43479.383279,5.1
43479.383326,0.8
43479.383372,0.7
43479.383418,1.1
43479.383464,0.7
43479.383511,0.6
43479.383557,0.6
43479.383603,0.6
43479.383650,0.6
43479.383696,0.7
43479.383742,0.7
43479.383789,0.6
43479.383835,0.8
43479.383881,0.7
43479.383928,0.7
43479.383974,0.7
43479.384020,0.7
43479.384066,0.6
43479.384113,0.8
43479.384159,1.2
43479.384205,0.7
