Time,Used
43479.319536,144087024
43479.319577,178690032
43479.319624,213293040
43479.319670,246847472
43479.319716,58004720
43479.319762,91559152
43479.319809,126162160
43479.319855,160765168
43479.319901,193271024
43479.319948,226825456
43479.319994,37099008
43479.320040,70653440
43479.320086,104207872
43479.320133,139859456
43479.320179,172365312
43479.320225,206968320
43479.320272,239474176
43479.320318,49714536
43479.320364,83268968
43479.320411,116823400
43479.320457,150377832
43479.320503,186029416
43479.320549,218535272
43479.320596,252089704
43479.320642,61255280
43479.320688,95858288
43479.320735,129412720
43479.320781,162967152
43479.320827,197570160
43479.320874,231124592
43479.320920,41350552
43479.320966,74904984
43479.321012,108459416
43479.321059,142013848
43479.321105,175568280
43479.321151,210171288
43479.321198,243725720
43479.321244,52893744
43479.321290,85399600
43479.321337,118954032
43479.321383,153557040
43479.321429,187111472
43479.321475,220665904
43479.321522,254220336
43479.321568,63385264
43479.321614,97988272
43479.321661,131542704
43479.321707,165097136
43479.321753,198651568
43479.321800,232206000
43479.321846,42502528
43479.321892,76056960
43479.321938,109611392
43479.321985,144214400
43479.322031,176720256
43479.322077,210274688
43479.322124,244877696
43479.322170,52994048
43479.322216,87597056
43479.322262,121151488
43479.322309,154705920
43479.322355,189308928
43479.322401,222863360
43479.322448,256417792
43479.322494,65498688
43479.322540,99053120
43479.322587,132607552
43479.322633,167210560
43479.322679,199716416
43479.322725,233270848
43479.322772,42435992
43479.322818,75990424
43479.322864,110593432
43479.322911,144147864
43479.322957,177702296
43479.323003,211256728
43479.323050,245859736
43479.323096,55024808
43479.323142,88579240
43479.323188,122133672
43479.323235,155688104
43479.323281,189242536
43479.323327,223845544
43479.323374,33096384
43479.323420,65602240
43479.323466,99156672
43479.323512,132711104
43479.323559,167314112
43479.323605,200868544
43479.323651,234422976
43479.323698,43664288
43479.323744,77218720
43479.323790,110773152
43479.323837,145376160
43479.323883,178930592
43479.323929,213533600
43479.323975,246039456
43479.324022,55123192
43479.324068,88677624
43479.324114,123280632
43479.324161,155786488
43479.324207,190389496
43479.324253,223943928
43479.324300,33234880
43479.324346,66789312
43479.324392,100343744
43479.324438,133898176
43479.324485,168501184
43479.324531,202055616
43479.324577,235610048
43479.324624,42585904
43479.324670,76140336
43479.324716,110743344
43479.324762,144297776
43479.324809,178900784
43479.324855,212455216
43479.324901,246009648
43479.324948,53108352
43479.324994,86662784
43479.325040,120217216
43479.325087,154820224
43479.325133,188374656
43479.325179,221929088
43479.325225,255483520
43479.325272,63609344
43479.325318,97163776
43479.325364,130718208
43479.325411,164272640
43479.325457,198875648
43479.325503,233478656
43479.325550,41594984
43479.325596,75149416
43479.325642,107655272
43479.325688,143306856
43479.325735,175812712
43479.325781,210415720
43479.325827,243970152
43479.325874,49991952
43479.325920,84594960
43479.325966,118149392
43479.326013,152752400
43479.326059,186306832
43479.326105,220909840
43479.326151,254464272
43479.326198,60497864
43479.326244,95100872
43479.326290,128655304
43479.326337,163258312
43479.326383,196812744
43479.326429,230367176
43479.326475,37455712
43479.326522,71010144
43479.326568,105613152
43479.326614,139167584
43479.326661,172722016
43479.326707,207325024
43479.326753,240879456
43479.326800,47946240
43479.326846,82549248
43479.326892,117152256
43479.326938,149658112
43479.326985,183212544
43479.327031,217815552
43479.327077,251369984
43479.327124,58465136
43479.327170,93068144
43479.327216,126622576
43479.327263,160177008
43479.327309,194780016
43479.327355,228334448
43479.327401,35417520
43479.327448,68971952
43479.327494,103574960
43479.327540,137129392
43479.327587,170683824
43479.327633,205286832
43479.327679,238841264
43479.327726,46953488
43479.327772,79459344
43479.327818,114062352
43479.327864,146568208
43479.327911,181171216
43479.327957,214725648
43479.328003,248280080
43479.328050,56407904
43479.328096,91010912
43479.328142,124565344
43479.328188,159168352
43479.328235,192722784
43479.328281,226277216
43479.328327,33371456
43479.328374,65877312
43479.328420,100480320
43479.328466,134034752
43479.328513,167589184
43479.328559,202192192
43479.328605,235746624
43479.328651,42805808
43479.328698,76360240
