Time,Used
43479.328744,109914672
43479.328790,144517680
43479.328837,178072112
43479.328883,211626544
43479.328929,245180976
43479.328976,52290152
43479.329022,86893160
43479.329068,120447592
43479.329114,154002024
43479.329161,187556456
43479.329207,222159464
43479.329253,256762472
43479.329300,63814712
43479.329346,96320568
43479.329392,131972152
43479.329439,164478008
43479.329485,199081016
43479.329531,232635448
43479.329577,39759296
43479.329624,73313728
43479.329670,106868160
43479.329716,140422592
43479.329763,175025600
43479.329809,208580032
43479.329855,242134464
43479.329902,49217360
43479.329948,83820368
43479.329994,116326224
43479.330040,150929232
43479.330087,184483664
43479.330133,218038096
43479.330179,252641104
43479.330226,60769584
43479.330272,94324016
43479.330318,128927024
43479.330364,162481456
43479.330411,196035888
43479.330457,230638896
43479.330503,37723136
43479.330550,71277568
43479.330596,104832000
43479.330642,139435008
43479.330689,172989440
43479.330735,207592448
43479.330781,240098304
43479.330827,48216640
43479.330874,80722496
43479.330920,116374080
43479.330966,149928512
43479.331013,182434368
43479.331059,217037376
43479.331105,250591808
43479.331152,57676592
43479.331198,92279600
43479.331244,101716784
43479.331290,103813936
43479.331337,103813936
43479.331383,104862512
43479.331429,105911088
43479.331476,106959664
43479.331522,108008240
43479.331568,109056816
43479.331615,109056816
43479.331661,110105392
43479.331707,111153968
43479.331753,112202544
43479.331800,113251120
43479.331846,114299696
43479.331892,114299696
43479.331939,116396848
43479.331985,116396848
43479.332031,117445424
43479.332078,118494000
43479.332124,119542576
43479.332170,120591152
43479.332216,120591152
43479.332263,121639728
43479.332309,122688304
43479.332355,123736880
43479.332402,124785456
43479.332448,125834032
43479.332494,126882608
43479.332540,127931184
43479.332587,128979760
43479.332633,130028336
43479.332679,130028336
43479.332726,131076912
43479.332772,132125488
43479.332818,133174064
43479.332865,133174064
43479.332911,135271216
43479.332957,136319792
43479.333003,136319792
43479.333050,137368368
43479.333096,138416944
43479.333142,138416944
43479.333189,140514096
43479.333235,141562672
43479.333281,141562672
43479.333328,142611248
43479.333374,143659824
43479.333420,144708400
43479.333466,145756976
43479.333513,147854128
43479.333559,147854128
43479.333605,147854128
43479.333652,149951280
43479.333698,150999856
43479.333744,150999856
43479.333790,152048432
43479.333837,153097008
43479.333883,154145584
43479.333929,155194160
43479.333976,156242736
43479.334022,157291312
43479.334068,157291312
43479.334115,158339888
43479.334161,159388464
43479.334207,160437040
43479.334253,161485616
43479.334300,162534192
43479.334346,163582768
43479.334392,164631344
43479.334439,165679920
43479.334485,165679920
43479.334531,166728496
43479.334578,167777072
43479.334624,168825648
43479.334670,169874224
43479.334716,169874224
43479.334763,170922800
43479.334809,173019952
43479.334855,173019952
43479.334902,174068528
43479.334948,175117104
43479.334994,175117104
43479.335040,177214256
43479.335087,177214256
43479.335133,178262832
43479.335179,179311408
43479.335226,180359984
43479.335272,181408560
43479.335318,182457136
43479.335366,183505712
43479.335411,183505712
43479.335457,184554288
43479.335503,185602864
43479.335550,186651440
43479.335596,187700016
43479.335642,187700016
43479.335689,188748592
43479.335735,190845744
