Time,Used
43479.362324,127494728
43479.362371,162097736
43479.362417,195652168
43479.362463,230255176
43479.362510,35223408
43479.362556,69826416
43479.362602,103380848
43479.362648,137983856
43479.362695,170489712
43479.362741,204044144
43479.362787,238647152
43479.362834,45708880
43479.362880,79263312
43479.362926,112817744
43479.362973,146372176
43479.363019,179926608
43479.363065,214529616
43479.363111,248084048
43479.363158,55181616
43479.363204,88736048
43479.363250,122290480
43479.363297,155844912
43479.363343,189399344
43479.363389,222953776
43479.363436,257556784
43479.363482,64638448
43479.363528,98192880
43479.363574,131747312
43479.363621,165301744
43479.363667,198856176
43479.363713,232410608
43479.363760,40533120
43479.363806,73038976
43479.363852,107641984
43479.363899,141196416
43479.363945,174750848
43479.363991,209353856
43479.364037,241859712
43479.364084,48939616
43479.364130,82494048
43479.364176,116048480
43479.364223,150651488
43479.364269,183157344
43479.364315,217760352
43479.364361,251314784
43479.364408,37438224
43479.364454,38486800
43479.364500,39535376
43479.364547,40583952
43479.364593,41632528
43479.364639,41632528
43479.364686,42681104
43479.364732,43729680
43479.364778,44778256
43479.364824,45826832
43479.364871,46875408
43479.364917,46875408
43479.364963,48972560
43479.365010,50021136
43479.365056,50021136
43479.365102,50021136
43479.365149,52118288
43479.365195,53166864
43479.365241,54215440
43479.365287,55264016
43479.365334,55264016
43479.365380,56312592
43479.365426,57361168
43479.365473,58409744
43479.365519,59458320
43479.365565,60506896
43479.365612,60506896
43479.365658,61555472
43479.365704,62604048
43479.365750,63652624
43479.365797,64701200
43479.365843,65749776
43479.365889,66798352
43479.365936,67846928
43479.365982,67846928
43479.366028,68895504
43479.366075,69944080
43479.366121,70992656
43479.366167,72041232
43479.366213,73089808
43479.366260,74138384
43479.366306,74138384
43479.366352,75186960
43479.366399,76235536
43479.366445,77284112
43479.366491,78332688
43479.366538,79381264
43479.366584,79381264
43479.366630,80429840
43479.366676,81478416
43479.366723,83575568
43479.366769,83575568
43479.366815,84624144
43479.366862,85672720
