Time,Used
43479.352372,103212544
43479.352417,139912704
43479.352463,173467136
43479.352509,208070144
43479.352556,241624576
43479.352602,52829408
43479.352648,86383840
43479.352695,120986848
43479.352741,154541280
43479.352787,187047136
43479.352833,221650144
43479.352880,255204576
43479.352926,67224224
43479.352972,98681504
43479.353019,133284512
43479.353065,167887520
43479.353111,200393376
43479.353157,234996384
43479.353204,44148544
43479.353250,76654400
43479.353296,111257408
43479.353343,143763264
43479.353389,178366272
43479.353435,211920704
43479.353482,244426560
43479.353528,54685544
43479.353574,88239976
43479.353620,121794408
43479.353667,155348840
43479.353713,188903272
43479.353759,223506280
43479.353806,257060712
43479.353852,65162736
43479.353898,99765744
43479.353945,133320176
43479.353991,166874608
43479.354037,200429040
43479.354083,233983472
43479.354130,42094424
43479.354176,76697432
43479.354222,110251864
43479.354269,143806296
43479.354315,177360728
43479.354361,210915160
43479.354408,244469592
43479.354454,53637184
43479.354500,87191616
43479.354546,120746048
43479.354593,153251904
43479.354639,187854912
43479.354685,221409344
43479.354732,254963776
43479.354778,63114856
43479.354824,96669288
43479.354870,131272296
43479.354917,163778152
43479.354963,198381160
43479.355009,231935592
43479.355056,40008720
43479.355102,73563152
43479.355148,107117584
43479.355195,141720592
43479.355241,175275024
43479.355287,208829456
43479.355333,242383888
43479.355380,51560552
43479.355426,85114984
43479.355472,118669416
43479.355519,152223848
43479.355565,186826856
43479.355611,220381288
43479.355658,253935720
43479.355704,62137664
43479.355750,95692096
43479.355796,129246528
43479.355843,163849536
43479.355889,196355392
43479.355935,229909824
43479.355982,39149120
43479.356028,72703552
43479.356074,107306560
43479.356121,140860992
43479.356167,174415424
43479.356213,206921280
43479.356259,241524288
43479.356306,48514896
43479.356352,83117904
43479.356398,116672336
43479.356445,150226768
43479.356491,184829776
43479.356537,217335632
43479.356583,251938640
43479.356630,60146952
43479.356676,93701384
43479.356722,127255816
43479.356769,160810248
43479.356815,194364680
43479.356861,227919112
43479.356908,35957928
43479.356954,69512360
43479.357000,103066792
43479.357046,136621224
43479.357093,170175656
43479.357139,204778664
43479.357185,238333096
43479.357232,45485120
43479.357278,80088128
43479.357324,113642560
43479.357371,146148416
43479.357417,180751424
43479.357463,214305856
43479.357509,246811712
43479.357556,54891296
43479.357602,89494304
43479.357648,122000160
43479.357695,155554592
43479.357741,190157600
43479.357787,223712032
43479.357834,256217888
43479.357880,64346128
43479.357926,97900560
43479.357972,131454992
43479.358019,165009424
43479.358065,199612432
43479.358111,233166864
43479.358158,40238616
43479.358204,72744472
43479.358250,107347480
43479.358296,139853336
43479.358343,174456344
43479.358389,208010776
43479.358435,241565208
43479.358482,48643368
43479.358528,82197800
43479.358574,116800808
43479.358621,149306664
43479.358667,182861096
43479.358713,217464104
43479.358759,251018536
43479.358806,59147712
43479.358852,91653568
43479.358898,125208000
43479.358945,159811008
43479.358991,193365440
43479.359037,226919872
43479.359084,35062672
43479.359130,67568528
43479.359176,101122960
43479.359222,135725968
43479.359269,168231824
43479.359315,202834832
43479.359361,236389264
43479.359408,44502832
43479.359454,78057264
43479.359500,111611696
43479.359547,144117552
43479.359593,178720560
43479.359639,211226416
43479.359685,245829424
43479.359732,51844912
43479.359778,86447920
43479.359824,120002352
43479.359871,153556784
43479.359917,188159792
43479.359963,220665648
43479.360010,255268656
43479.360056,61292880
43479.360102,95895888
43479.360148,129450320
43479.360195,163004752
43479.360241,196559184
43479.360287,230113616
43479.360334,38242984
43479.360380,71797416
43479.360426,105351848
43479.360473,138906280
43479.360519,173509288
43479.360565,206015144
43479.360611,240618152
43479.360658,47728640
43479.360704,82331648
43479.360750,114837504
43479.360797,149440512
43479.360843,182994944
43479.360889,216549376
43479.360935,250103808
43479.360982,57169920
43479.361028,91772928
43479.361074,124278784
43479.361121,157833216
43479.361167,191387648
43479.361213,224942080
43479.361260,259545088
43479.361306,66604952
43479.361352,100159384
43479.361398,133713816
43479.361445,167268248
43479.361491,200822680
43479.361537,234377112
43479.361584,41468624
43479.361630,76071632
43479.361676,109626064
43479.361723,143180496
43479.361769,177783504
43479.361815,210289360
43479.361861,243843792
43479.361908,51967888
43479.361954,84473744
43479.362000,119076752
43479.362047,153679760
43479.362093,186185616
43479.362139,220788624
43479.362186,253294480
43479.362232,62483016
43479.362278,94988872
