Time,CPU Usage
43479.363065,5.3
43479.363112,5.3
43479.363158,5.4
43479.363204,5.4
43479.363250,5.6
43479.363297,5.2
43479.363343,5.4
43479.363389,5.3
43479.363436,5.2
43479.363482,5.7
43479.363528,5.3
43479.363575,5.2
43479.363621,5.3
43479.363667,5.2
43479.363713,4.2
43479.363760,5.5
43479.363806,5.4
43479.363852,6.0
43479.363899,5.5
43479.363945,5.4
43479.363991,5.5
43479.364038,5.4
43479.364084,5.8
43479.364130,5.5
43479.364176,5.4
43479.364223,5.4
43479.364269,5.4
43479.364315,5.3
43479.364362,5.4
43479.364408,2.4
43479.364454,0.6
43479.364500,0.6
43479.364547,0.7
43479.364593,0.7
43479.364639,0.6
43479.364686,0.7
43479.364732,0.7
43479.364778,0.6
43479.364825,0.7
43479.364871,0.7
43479.364917,0.7
43479.364963,0.6
43479.365010,0.7
43479.365056,0.6
43479.365102,0.7
43479.365149,0.6
43479.365195,0.7
43479.365241,0.6
43479.365288,0.6
43479.365334,1.2
43479.365380,0.6
43479.365426,0.6
43479.365473,0.7
43479.365519,0.7
43479.365565,0.6
43479.365612,0.6
43479.365658,0.7
43479.365704,0.6
43479.365751,1.0
43479.365797,0.6
43479.365843,0.7
43479.365889,0.6
43479.365936,0.6
43479.365982,0.6
43479.366028,0.7
43479.366075,0.7
43479.366121,0.6
43479.366167,0.6
43479.366214,0.6
43479.366260,0.7
43479.366306,0.7
43479.366352,0.7
43479.366399,0.7
43479.366445,0.7
43479.366491,0.6
43479.366538,0.8
43479.366584,0.6
43479.366630,0.6
43479.366677,0.6
43479.366723,0.8
43479.366769,1.9
43479.366815,0.8
43479.366862,1.6
43479.366908,0.6
43479.366954,0.7
43479.367001,0.8
43479.367047,0.6
43479.367093,1.1
