Time,CPU Usage
43479.352417,23.9
43479.352463,12.4
43479.352510,8.5
43479.352556,6.7
43479.352602,9.2
43479.352648,7.3
43479.352695,7.1
43479.352741,8.4
43479.352787,6.2
43479.352834,5.9
43479.352880,7.7
43479.352926,6.4
43479.352972,6.2
43479.353019,6.6
43479.353065,5.7
43479.353111,5.6
43479.353158,5.5
43479.353204,5.9
43479.353250,5.6
43479.353296,5.5
43479.353343,5.7
43479.353389,5.5
43479.353435,5.6
43479.353482,5.6
43479.353528,5.6
43479.353574,5.5
43479.353621,5.8
43479.353667,5.5
43479.353713,5.4
43479.353759,5.6
43479.353806,5.6
43479.353852,5.6
43479.353898,5.6
43479.353945,5.4
43479.353991,5.6
43479.354037,5.5
43479.354084,5.5
43479.354130,5.5
43479.354176,5.8
43479.354222,5.5
43479.354269,5.6
43479.354315,5.5
43479.354361,6.2
43479.354408,5.6
43479.354454,5.7
43479.354500,6.1
43479.354546,5.4
43479.354593,5.5
43479.354639,5.6
43479.354685,5.7
43479.354732,5.7
43479.354778,5.6
43479.354824,5.4
43479.354871,5.6
43479.354917,5.4
43479.354963,5.4
43479.355009,5.4
43479.355056,5.8
43479.355102,5.4
43479.355148,5.3
43479.355195,5.5
43479.355241,5.3
43479.355287,5.4
43479.355334,5.9
43479.355380,5.5
43479.355426,5.3
43479.355472,5.4
43479.355519,5.4
43479.355565,5.6
43479.355611,5.8
43479.355658,5.5
43479.355704,5.5
43479.355750,5.4
43479.355797,5.4
43479.355843,5.4
43479.355889,5.5
43479.355935,5.4
43479.355982,4.7
43479.356028,5.8
43479.356074,5.2
43479.356121,5.6
43479.356167,5.4
43479.356213,5.4
43479.356260,5.5
43479.356306,5.6
43479.356352,5.4
43479.356398,5.4
43479.356445,5.4
43479.356491,7.8
43479.356537,5.3
43479.356584,5.4
43479.356630,5.4
43479.356676,5.4
43479.356722,5.4
43479.356769,5.5
43479.356815,5.3
43479.356861,5.5
43479.356908,5.4
43479.356954,5.4
43479.357000,5.4
43479.357047,5.4
43479.357093,5.4
43479.357139,5.3
43479.357185,5.4
43479.357232,5.5
43479.357278,5.3
43479.357324,5.3
43479.357371,5.5
43479.357417,5.4
43479.357463,5.4
43479.357510,5.3
43479.357556,5.4
43479.357602,5.4
43479.357648,5.4
43479.357695,5.6
43479.357741,5.4
43479.357787,5.3
43479.357834,5.3
43479.357880,5.5
43479.357926,5.4
43479.357973,5.7
43479.358019,5.3
43479.358065,5.5
43479.358111,5.4
43479.358158,5.4
43479.358204,5.4
43479.358250,5.4
43479.358297,5.3
43479.358343,5.6
43479.358389,5.8
43479.358435,5.4
43479.358482,5.6
43479.358528,5.8
43479.358574,5.3
43479.358621,5.4
43479.358667,5.3
43479.358713,5.3
43479.358760,5.4
43479.358806,5.3
43479.358852,5.4
43479.358898,5.4
43479.358945,5.3
43479.358991,5.3
43479.359037,5.4
43479.359084,5.4
43479.359130,5.4
43479.359176,5.3
43479.359223,5.3
43479.359269,5.3
43479.359315,6.0
43479.359361,5.4
43479.359408,6.1
43479.359454,5.4
43479.359500,5.6
43479.359547,5.9
43479.359593,5.5
43479.359639,5.3
43479.359686,5.4
43479.359732,5.4
43479.359778,5.4
43479.359824,5.2
43479.359871,5.4
43479.359917,5.3
43479.359963,5.3
43479.360010,5.3
43479.360056,5.5
43479.360102,5.3
43479.360149,5.4
43479.360195,5.3
43479.360241,5.3
43479.360287,5.3
43479.360334,5.5
43479.360380,5.3
43479.360426,5.3
43479.360473,5.3
43479.360519,5.2
43479.360565,5.4
43479.360611,5.3
43479.360658,5.4
43479.360704,5.4
43479.360750,5.5
43479.360797,5.3
43479.360843,6.1
43479.360889,5.3
43479.360936,5.3
43479.360982,5.4
43479.361028,5.3
43479.361074,5.3
43479.361121,5.3
43479.361167,5.3
43479.361213,5.4
43479.361260,5.4
43479.361306,5.4
43479.361352,5.3
43479.361399,5.4
43479.361445,5.3
43479.361491,5.4
43479.361537,5.4
43479.361584,5.4
43479.361630,5.3
43479.361676,5.2
43479.361723,5.3
43479.361769,5.3
43479.361815,5.3
43479.361862,5.3
43479.361908,5.4
43479.361954,5.4
43479.362000,5.4
43479.362047,5.4
43479.362093,5.2
43479.362139,5.4
43479.362186,5.4
43479.362232,5.4
43479.362278,5.5
43479.362324,5.4
43479.362371,5.3
43479.362417,5.2
43479.362463,5.3
43479.362510,5.5
43479.362556,5.3
43479.362602,5.4
43479.362649,5.3
43479.362695,5.4
43479.362741,5.6
43479.362787,5.4
43479.362834,5.3
43479.362880,5.4
43479.362926,5.3
43479.362973,5.2
43479.363019,5.4
